Stage,Movement,Dependencies,Name,PV,Order,Accuracy,CoR,Notes
Description,large tx(x)/tx/rx,-motor,Motor Label,EPICS PV,Application Order,(mm) or (deg),Center of Rotation in (mm) above top plate,
DynMRT,tx,rz,SAMPLEH1,SR08ID01SST25:SAMPLEH1,3,0.001,,Must get value of rz to recalculate new value.
DynMRT,ty,rz,SAMPLEH2,SR08ID01SST25:SAMPLEH2,2,0.001,,Must get value of rz to recalculate new value.
DynMRT,tz,,SAMPLEV,SR08ID01SST25:SAMPLEV,0,0.001,,"No dependencies, can move freely."
DynMRT,rx,,None,None,,,,
DynMRT,ry,,None,None,,,,
DynMRT,rz,,ROTATION,SR08ID01SST25:ROTATION,1,0.001,0,"No dependencies, can move freely."
DynMRT,m0,,MASKHOME,SR08ID01SST25:MASK_POS:posHome,,,,
DynMRT,m1,,MASK1,SR08ID01SST25:MASK_POS:pos1,,,,
DynMRT,m2,,MASK2,SR08ID01SST25:MASK_POS:pos2,,,,
DynMRT,m3,,MASK3,SR08ID01SST25:MASK_POS:pos3,,,,
DynMRT,z,,TABLEZ,SR08ID01TBL22:Z,,,,
3BCT,tx,,SAMPLE X,SR08ID01SST01:SAMPLEX,,,,
3BCT,ty,,SAMPLE Y,SR08ID01SST01:SAMPLEY,,,,
3BCT,tz,,LARGE Z,SR08ID01SST01:Z,,,,
3BCT,rx,,TILT X,SR08ID01SST01:TILT1,,,134,
3BCT,ry,,TILT Y,SR08ID01SST01:TILT2,,,134,
3BCT,rz,,ROTATE Z,SR08ID01SST01:ROTATION,,,,
3BCT,y,,LARGE Y,SR08ID01SST01:Y,,,,
LAPS,,,X,SR08ID01ROB01:POTENTIAL_POSITION_AXIS1,,,,
LAPS,,,Y,SR08ID01ROB01:POTENTIAL_POSITION_AXIS2,,,,
LAPS,,,Z,SR08ID01ROB01:POTENTIAL_POSITION_AXIS3,,,,
LAPS,,,TILT X,SR08ID01ROB01:POTENTIAL_POSITION_AXIS4,,,,
LAPS,,,TILT Y,SR08ID01ROB01:POTENTIAL_POSITION_AXIS5,,,,
LAPS,,,TILT Z,SR08ID01ROB01:POTENTIAL_POSITION_AXIS6,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
