Group,Name,PV

# Dynamic MRT Motors.
DynMRT,STAGE X,NAME.PV
DynMRT,STAGE Y,NAME.PV
DynMRT,STAGE Z,NAME.PV
DynMRT,ROTATE V,NAME.PV

# Dynamic MRT Table Motors.
DynMRT,TABLE X,NAME.PV
DynMRT,TABLE Y,NAME.PV
DynMRT,TABLE Z,NAME.PV

# Hutch 3B CT Motors.
3BCT,STAGE X,NAME.PV
3BCT,STAGE Y,NAME.PV
3BCT,STAGE Z,NAME.PV
3BCT,ROTATE X,NAME.PV
3BCT,ROTATE Y,NAME.PV
3BCT,ROTATE Z,NAME.PV

# LAPS Motors.
LAPS,STAGE X,NAME.PV
LAPS,STAGE Y,NAME.PV
LAPS,STAGE Z,NAME.PV
LAPS,ROTATE X,NAME.PV
LAPS,ROTATE Y,NAME.PV
LAPS,ROTATE Z,NAME.PV

# PPS Motors.
PPS,STAGE X,NAME.PV
PPS,STAGE Y,NAME.PV
PPS,STAGE Z,NAME.PV
PPS,ROTATE X,NAME.PV
PPS,ROTATE Y,NAME.PV
PPS,ROTATE Z,NAME.PV
